Date,Time_MPP_h,Efficiency (%),Power (W),Voltage (V),Current (mA cm-2),Temperature (°C),Sun (-),Humidity (%)
,1.8759613888888889,5.882771428209796,0.000013736271284869872,-1.4863046407699585,-0.000009241921361535788,19.3,0.00467,44.1
,1.876466388888889,5.576932235718047,0.000013635599316330627,-1.4839740991592407,-0.000009188614058075473,19.3,0.00489,44.1
,1.8770230555555556,5.938155565742898,0.000013865593246009666,-1.484117865562439,-0.000009342664270661771,19.3,0.00467,44.1
,1.8775791666666666,5.827356074143484,0.000013752560334978625,-1.487785816192627,-0.000009243691238225438,19.3,0.00472,44.1
,1.878168611111111,5.765909160497055,0.000013838181985192932,-1.494586706161499,-0.000009258780664822552,19.3,0.0048,44.1
,1.8787233333333335,5.865333984426495,0.000014076801562623587,-1.4956610202789307,-0.000009411680366611108,19.3,0.0048,44.2
,1.8792847222222222,5.794931158444679,0.000013965784091851674,-1.4939075708389282,-0.00000934844501898624,19.3,0.00482,44.2
,1.8798336111111111,5.949920946438638,0.000013922815014666412,-1.4910356998443604,-0.000009337691153632477,19.3,0.00468,44.2
,1.8803930555555555,5.878556499934025,0.000013902786122343969,-1.4908270835876465,-0.000009325567589257844,19.3,0.00473,44.2
,1.880951111111111,5.781978972693828,0.000013934569324192125,-1.489497423171997,-0.000009355229849461466,19.3,0.00482,44.2
,1.8815013888888887,6.2205028176062385,0.000013933926311437972,-1.494207739830017,-0.000009325275641458575,19.3,0.00448,44.2
,1.882076388888889,5.957670776967007,0.000013792007848678622,-1.4943664073944092,-0.000009229429451806936,19.3,0.00463,44.2
,1.8901277777777779,5.835674543783827,0.00001388890541420551,-1.4883397817611694,-0.00000933176761463983,19.3,0.00476,44.3
,1.890759722222222,6.078013807076581,0.00001400982182531152,-1.4834339618682861,-0.000009444319402973633,19.3,0.00461,44.3
,1.8913719444444446,5.8639837314989025,0.00001378036176902242,-1.482474446296692,-0.000009295485142502002,19.3,0.0047,44.3
,1.8918625,5.838060541329264,0.000013982154996483587,-1.483911156654358,-0.000009422519724466838,19.3,0.00479,44.3
,1.8923333333333332,5.752966292978575,0.00001380711910314858,-1.4813721179962158,-0.000009320469871454407,19.3,0.0048,44.3
,1.8928850000000002,5.871704387997808,0.000013769146789854858,-1.4809527397155762,-0.000009297477845393587,19.3,0.00469,44.3
,1.8934533333333332,5.807437131887173,0.000013850737559550907,-1.483145833015442,-0.000009338777999801096,19.3,0.00477,44.3
,1.8940041666666667,5.917872411279855,0.000013788642718282063,-1.4813261032104492,-0.000009308250810136087,19.3,0.00466,44.3
,1.8945530555555554,5.901498193326377,0.000013839013263350353,-1.4801101684570312,-0.00000934979379962897,19.3,0.00469,44.3
,1.8951097222222224,5.82620732568279,0.000013808111361868214,-1.4831607341766357,-0.00000930990881897742,19.3,0.00474,44.3
,1.895666388888889,5.820243131893221,0.000013968583516543731,-1.4794650077819824,-0.000009441751899430528,19.4,0.0048,44.3
